Lat,Long
38.59375,-120.28125
38.65625,-120.28125
38.59375,-120.34375
38.65625,-120.34375
38.59375,-120.40625
38.65625,-120.40625
38.53125,-120.46875
38.59375,-120.46875
38.65625,-120.46875
38.71875,-120.46875
38.53125,-120.53125
38.59375,-120.53125
38.65625,-120.53125
38.71875,-120.53125
38.53125,-120.59375
38.59375,-120.59375
38.65625,-120.59375
38.71875,-120.59375
38.53125,-120.65625
38.59375,-120.65625
38.65625,-120.65625
38.53125,-120.71875
38.59375,-120.71875
38.65625,-120.71875
38.53125,-120.78125
38.59375,-120.78125
38.65625,-120.78125
38.46875,-120.84375
38.53125,-120.84375
38.59375,-120.84375
38.65625,-120.84375
38.53125,-120.90625
38.59375,-120.90625
38.65625,-120.90625
38.53125,-120.96875
38.59375,-120.96875
38.46875,-121.03125
38.53125,-121.03125
