Lat,Long
37.71875,-119.28125
37.65625,-119.34375
37.71875,-119.34375
37.78125,-119.34375
37.59375,-119.40625
37.65625,-119.40625
37.71875,-119.40625
37.78125,-119.40625
37.53125,-119.46875
37.59375,-119.46875
37.65625,-119.46875
37.71875,-119.46875
37.78125,-119.46875
37.84375,-119.46875
37.53125,-119.53125
37.59375,-119.53125
37.65625,-119.53125
37.71875,-119.53125
37.78125,-119.53125
37.84375,-119.53125
37.46875,-119.59375
37.53125,-119.59375
37.59375,-119.59375
37.65625,-119.59375
37.71875,-119.59375
37.78125,-119.59375
37.84375,-119.59375
37.53125,-119.65625
37.59375,-119.65625
37.65625,-119.65625
37.71875,-119.65625
37.78125,-119.65625
37.53125,-119.71875
37.59375,-119.71875
37.65625,-119.71875
37.71875,-119.71875
37.53125,-119.78125
37.59375,-119.78125
37.65625,-119.78125
37.71875,-119.78125
37.59375,-119.84375
37.65625,-119.84375
37.71875,-119.84375
37.53125,-119.90625
37.59375,-119.90625
37.65625,-119.90625
37.71875,-119.90625
37.53125,-119.96875
37.59375,-119.96875
37.65625,-119.96875
37.71875,-119.96875
37.78125,-119.96875
37.59375,-120.03125
37.65625,-120.03125
37.71875,-120.03125
37.78125,-120.03125
37.59375,-120.09375
37.65625,-120.09375
37.71875,-120.09375
37.78125,-120.09375
37.59375,-120.15625
37.65625,-120.15625
37.71875,-120.15625
37.78125,-120.15625
37.59375,-120.21875
37.65625,-120.21875
37.71875,-120.21875
37.59375,-120.28125
37.65625,-120.28125
37.71875,-120.28125
