Lat,Long
38.28125,-119.65625
38.34375,-119.65625
38.21875,-119.71875
38.28125,-119.71875
38.34375,-119.71875
38.40625,-119.71875
38.21875,-119.78125
38.28125,-119.78125
38.34375,-119.78125
38.40625,-119.78125
38.46875,-119.78125
38.21875,-119.84375
38.28125,-119.84375
38.34375,-119.84375
38.40625,-119.84375
38.46875,-119.84375
38.21875,-119.90625
38.28125,-119.90625
38.34375,-119.90625
38.40625,-119.90625
38.46875,-119.90625
38.21875,-119.96875
38.28125,-119.96875
38.34375,-119.96875
38.40625,-119.96875
38.46875,-119.96875
38.21875,-120.03125
38.28125,-120.03125
38.34375,-120.03125
38.40625,-120.03125
38.46875,-120.03125
38.15625,-120.09375
38.21875,-120.09375
38.28125,-120.09375
38.34375,-120.09375
38.40625,-120.09375
38.09375,-120.15625
38.15625,-120.15625
38.21875,-120.15625
38.28125,-120.15625
38.34375,-120.15625
38.40625,-120.15625
38.09375,-120.21875
38.15625,-120.21875
38.21875,-120.21875
38.28125,-120.21875
38.34375,-120.21875
38.09375,-120.28125
38.15625,-120.28125
38.21875,-120.28125
38.28125,-120.28125
38.09375,-120.34375
38.15625,-120.34375
38.21875,-120.34375
38.03125,-120.40625
38.09375,-120.40625
38.15625,-120.40625
38.03125,-120.46875
38.09375,-120.46875
37.96875,-120.53125
38.03125,-120.53125
38.03125,-120.59375
