Lat,Long
38.53125,-119.78125
38.53125,-119.84375
38.53125,-119.90625
38.59375,-119.90625
38.53125,-119.96875
38.59375,-119.96875
38.65625,-119.96875
38.53125,-120.03125
38.59375,-120.03125
38.46875,-120.09375
38.53125,-120.09375
38.59375,-120.09375
38.46875,-120.15625
38.53125,-120.15625
38.59375,-120.15625
38.40625,-120.21875
38.46875,-120.21875
38.53125,-120.21875
38.59375,-120.21875
38.34375,-120.28125
38.40625,-120.28125
38.46875,-120.28125
38.53125,-120.28125
38.34375,-120.34375
38.40625,-120.34375
38.46875,-120.34375
38.53125,-120.34375
38.34375,-120.40625
38.40625,-120.40625
38.46875,-120.40625
38.53125,-120.40625
38.34375,-120.46875
38.40625,-120.46875
38.46875,-120.46875
38.40625,-120.53125
38.34375,-120.59375
38.40625,-120.59375
38.34375,-120.65625
38.34375,-120.71875
38.28125,-120.78125
38.28125,-120.84375
